Station Name,Genre,URL
RocK: Peace Radio,"Rock, Psychedelic Rock",http://listen.radionomy.com/Peace-Radio
RocK: pinkfloydteguz,"Rock, Pink Floyd ",http://listen.radionomy.com/pinkfloydteguz
SomA: 7 Inch Soul,"Soul, Funk",http://ice.somafm.com/7soul
SomA: BAGeL Radio,Eclectic ,http://ice.somafm.com/bagel
SomA: Beat Blender,"Electronic, Trip Hop",http://ice.somafm.com/beatblender
SomA: Black Rock FM,"Electronic, Rock ",http://ice.somafm.com/brfm
SomA: Boot Liquor,"Country, Americana",http://ice.somafm.com/bootliquor
SomA: Cliqhop idm,"Electronic, Intelligent Dance Music (IDM) ",http://ice.somafm.com/cliqhop
SomA: Covers,"Indie, Covers  ",http://ice.somafm.com/covers
SomA: DEF CON Radio,"Electronic, Hacker Radio",http://ice.somafm.com/defcon
SomA: Deep Space One,"Ambient, Space Ambient  ",http://ice.somafm.com/deepspaceone
SomA: Digitalis,Electronic,http://ice.somafm.com/digitalis
SomA: Doomed,"Ambient, Doom ",http://ice.somafm.com/doomed
SomA: Drone Zone,"Ambient, Drone",http://ice.somafm.com/dronezone
SomA: Dub Step Beyond,"Electronic, Dubstep",http://ice.somafm.com/dubstep
SomA: Earwaves,Ambient,http://ice.somafm.com/earwaves
SomA: Fluid,Ambient,http://ice.somafm.com/fluid
SomA: Folk Forward,"Folk, Indie Folk ",http://ice.somafm.com/folkfwd
SomA: Groove Salad,"Electronic, Chillout ",http://ice.somafm.com/groovesalad
SomA: Illinois Street Lounge,Lounge,http://ice.somafm.com/illstreet
SomA: Indie Pop Rocks,"Indie, Indie Rock ",http://ice.somafm.com/indiepop
SomA: Left Coast 70s,"Rock, 70s ",http://ice.somafm.com/seventies
SomA: Lush,"Ambient, Lush",http://ice.somafm.com/lush
SomA: Mission Control,"Ambient, Space Ambient  ",http://ice.somafm.com/missioncontrol
SomA: PopTron,"Electronic, Psychedelic Trance",http://ice.somafm.com/poptron
SomA: SF 10–33,"Electronic, Ambient",http://ice.somafm.com/sf1033
SomA: Secret Agent,Ambient ,http://ice.somafm.com/secretagent
SomA: Sonic Universe,Electropop,http://ice.somafm.com/sonicuniverse
SomA: Space Station Soma,"Electronic, Chillout, Trip Hop",http://ice.somafm.com/spacestation
SomA: Suburbs of Goa,"Electronic, Spy",http://ice.somafm.com/suburbsofgoa
SomA: The Trip,Electronic ,http://ice.somafm.com/thetrip
SomA: ThistleRadio,"Ambient, Space Ambient  ",http://ice.somafm.com/thistle
SomA: Underground 80s,"Ambient, Psychedelic Trance",http://ice.somafm.com/u80s
UrbaN: 1 Soul,Ambient,http://streaming.radionomy.com/-1Soul
UrbaN: 2000s R'n'B,"Alternative, 80s",http://streaming.radionomy.com/2000s-RnB
UrbaN: A Better Old School Classic Rap Station,"R&B, Soul",http://streaming.radionomy.com/a-better-old-school-classic-rap-station
UrbaN: A Better Slow Jams Station,"R&B, 2000s",http://streaming.radionomy.com/a-better-slow-jams-station
UrbaN: Classic Rap,"Hip Hop, Old School  ",http://streaming.radionomy.com/Classic-Rap
UrbaN: DooWop FM,R&B ,http://streaming.radionomy.com/DooWopFM
UrbaN: Hip-Hop Request,Hip Hop,http://streaming.radionomy.com/Hip-HopRequest
UrbaN: One Love Hip-Hop Radio,"Hip Hop, Love Songs",http://streaming.radionomy.com/One-love-Hip-Hop-Radio
UrbaN: R'n'B Cream,R&B ,http://streaming.radionomy.com/_rb_cream
UrbaN: West Coast Classics,"Hip Hop, West Coast Hip Hop ",http://streaming.radionomy.com/WestCoastClassics
